Date,Consumption,Wind,Solar,Wind+Solar
20260101,1069.184,57.993,158.447,216.44
20260102,1380.521,66.484,136.485,202.969
20260103,1442.533,20.659,127.859,148.518
20260104,1457.217,143.3,128.809,272.109
20260105,1477.131,61.385,144.194,205.579
20260106,1403.427,30.648,63.245,93.893
20260107,1300.287,115.102,103.898,219
20260108,1207.985,227.026,93.021,320.047
20260109,1529.323,70.863,144.41,215.273
20260110,1576.911,68.393,115.037,183.43
20260111,1577.176,37.135,115.197,152.332
20260112,1553.28,33.321,61.561,94.882
20260113,1545.002,67.109,51.478,118.587
20260114,1359.945,38.744,73.055,111.799
20260115,1265.475,35.317,94.999,130.316
20260116,1563.738,19.479,89.052,108.531
20260117,1598.303,33.386,126.598,159.984
20260118,1572.984,64.503,84.097,148.6
20260119,1558.29,87.273,113.908,201.181
20260120,1540.604,139.231,128.135,267.366
20260121,1348.188,56.865,129.656,186.521
20260122,1248.111,61.961,144.815,206.776
20260123,1569.691,80.469,129.845,210.314
20260124,1603.252,106.166,90.839,197.005
20260125,1613.312,59.783,50.344,110.127
20260126,1601.673,31.514,93.104,124.618
20260127,1586.065,259.902,114.898,374.8
20260128,1373.03,123.985,67.424,191.409
20260129,1252.215,75.964,138.039,214.003
20260130,1554.722,70.962,108.937,179.899
20260131,1575.129,108.252,111.491,219.743
